[09-Feb-2017 09:39:55 UTC] PHP Parse error:  syntax error, unexpected end of file in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 66
[09-Feb-2017 09:40:20 UTC] PHP Parse error:  syntax error, unexpected end of file in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 66
[09-Feb-2017 09:40:31 UTC] PHP Parse error:  syntax error, unexpected end of file in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 66
[09-Feb-2017 09:41:45 UTC] PHP Parse error:  syntax error, unexpected end of file in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 66
[09-Feb-2017 09:41:50 UTC] PHP Parse error:  syntax error, unexpected end of file in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 66
[09-Feb-2017 09:42:20 UTC] PHP Parse error:  syntax error, unexpected end of file in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 68
[09-Feb-2017 09:45:36 UTC] PHP Fatal error:  Call to undefined method CWP2GEI_SPGATEWAY::GetOptions() in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 21
[09-Feb-2017 10:47:09 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 32
[09-Feb-2017 10:47:40 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 32
[09-Feb-2017 10:48:00 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 32
[09-Feb-2017 10:48:34 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 32
[09-Feb-2017 10:48:55 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in E:\xampp\htdocs\wp-content\plugins\cw-pay2go-ei\includes\class-cw-pay2goe-ei-spgateway.php on line 32
[10-Feb-2017 06:46:23 UTC] PHP Fatal error:  Call to a member function getTimestamp() on null in E:\xampp\htdocs\practice\wordpress\wp-content\plugins\cw-pay2go-ei\debugging.php on line 12
[10-Feb-2017 06:48:44 UTC] PHP Fatal error:  Call to a member function getTimestamp() on null in E:\xampp\htdocs\practice\wordpress\wp-content\plugins\cw-pay2go-ei\debugging.php on line 12
[10-Feb-2017 06:48:57 UTC] PHP Fatal error:  Call to a member function getTimestamp() on null in E:\xampp\htdocs\practice\wordpress\wp-content\plugins\cw-pay2go-ei\debugging.php on line 12
